time;curr_vacc;max_vacc;max_infec;day_max_infec;vacc_min;day_vacc_min;curr_immune;;;;;;
129.25;8559;9255;118;5714;7252;4654;9912;;;;;5714;118
118.07;8436;9000;54;6204;6623;5018;9807;;;;;6204;54
132.82;8238;9256;67;4499;7679;4443;9834;;;;;4499;67
149.56;8151;9000;61;5370;6623;5126;9876;;;;;5370;61
131.16;8301;9000;69;5286;6623;5137;9886;;;;;5286;69
131.59;8230;9000;66;5190;6624;5036;9890;;;;;5190;66
132.44;8056;9142;59;4505;7545;4473;9832;;;;;4505;59
132.69;8692;9000;70;5861;6623;5018;9842;;;;;5861;70
128.89;8502;9325;75;4938;7337;4912;9791;;;;;4938;75
128.36;8501;9443;95;4900;6874;4874;9841;;;;;4900;95
129.95;7750;9000;39;4726;7209;4705;9761;;;;;4726;39
134.47;8497;9209;96;5211;6624;5013;9865;;;;;5211;96
126.8;8321;9268;69;4555;7412;4535;9745;;;;;4555;69
130.21;8335;9027;78;5187;6624;5020;9862;;;;;5187;78
132.27;8397;9000;70;5723;6623;5051;9866;;;;;5723;70
135.16;8355;9000;46;5022;6699;4981;9779;;;;;5022;46
130.3;8467;9266;71;4882;6949;4843;9901;;;;;4882;71
133.66;8596;9193;94;5803;6621;5060;9870;;;;;5803;94
130.41;7966;9000;45;4693;7242;4629;9760;;;;;4693;45
130.48;8484;9233;66;4931;6851;4897;9893;;;;;4931;66
;;;;;;;;;;;;5380;106
;;;;;;;;;;;;5485;68
;;;;;;;;;;;;5097;55
;;;;;;;;;;;;4878;47
;;;;;;;;;;;;5694;69
;;;;;;;;;;;;5484;77
