time;curr_vacc;max_vacc;max_infec;day_max_infec;vacc_min;day_vacc_min;curr_immune;;;;;;;;;;;
158.3;7326;8713;117;4777;4828;4720;9156;;;;;;;;;;4777;117
159.08;7000;8620;110;4708;4870;4667;9221;;;;;;;;;;4708;110
158.02;5854;8901;138;4993;5854;7999;9294;;;;;;;;;;4993;138
158.1;6557;8981;149;4685;5005;4651;9212;;;;;;;;;;4685;149
158.03;7092;9180;218;5324;3861;5289;9120;;;;;;;;;;5324;218
153.47;7648;8408;141;5551;5604;5480;9347;;;;;;;;;;5551;141
157.2;6754;8844;101;4862;4605;4839;9067;;;;;;;;;;4862;101
153.32;8248;9076;116;4727;4812;4712;9322;;;;;;;;;;4727;116
161.15;5801;8786;88;4374;5499;4137;9235;;;;;;;;;;4374;88
153.48;8576;8776;195;7594;5223;4530;9535;;;;;;;;;;7594;195
156.85;7956;8837;128;7685;5948;3985;9361;;;;;;;;;;7685;128
159.73;6055;8885;135;4496;5436;4458;9223;;;;;;;;;;4496;135
162.9;5473;8750;81;4158;5473;7999;9182;;;;;;;;;;4158;81
159.13;5698;8851;88;4196;5499;4162;8893;;;;;;;;;;4196;88
149.53;8418;8742;240;7339;6627;7305;9600;;;;;;;;;;7339;240
158.86;6611;8594;108;5084;4277;5045;9198;;;;;;;;;;5084;108
156.12;8355;8909;139;4853;4658;4814;9526;;;;;;;;;;4853;139
151.13;8267;8998;154;7441;5499;4144;9406;;;;;;;;;;7441;154
159.3;7787;8118;121;7449;4981;4643;9354;;;;;;;;;;7449;121
156.66;6575;8737;115;4746;4791;4719;9095;;;;;;;;;;4746;115
;7102,55;8785,3;134,1;5452,1;5167,5;5114,9;9267,35;;;;;;;;;;;
;1015,939362;233,4219356;41,85803073;1258,822461;628,6297128;1208,272621;171,548451;;;;;;;;;;;
